tweet_id,text
1018232651537354752,"To all my blogging gals. I've just pledged to this Kickstarter I am DYING to play. If anyone could retweet and spre… https://t.co/HIKFheA4f9"
1018233094812422145,"RT @taoofcoffee: My precious.Fresh from the Highlands. #nerd #stats #phdlife https://t.co/UanlaUZHho"
1018233345111568384,"At a local store: #Deathstar by #Chocolate .This is such a #nerd haven.#StarWars #Seattle https://t.co/OxnXGNZ0zQ"
1018233610057519104,"RT @Midsummer1942: Last #Warcraft related one for now! #EtsySeller #Etsyshop #Etsy #Colors #Colorful  #Handmade #MidsummerArt #Commissions…"
1018233692085465092,"This is truthhttps://t.co/qHBHRXJ3Lp#f4f  #gamer #twitchstreamer #twitch #positivity#twitchtv #livestream… https://t.co/ZB0ua1WcJS"
1018233946650435585,"Reposting @thegeekery1:Which Hogwarts House are you? I am definitely a Hufflepuff although I feel like in this sc… https://t.co/8PFUtN0Jdu"
1018234304533590016,"Watching Ghostbusters with my wife. Love Holtzmann so much! Reminded me I wrote this song about the reboot on my fi… https://t.co/LTPmdMKsQF"
1018235564242489345,"Finished its so nice gundam #gundam #gunpla #gaming #anime #art #Xbox #ps4 #nintendo #youtube #robot #cartoon… https://t.co/sOce1LX6l0"
1018235624103395328,"RT @LVDigitalMedia: Check out #Nerd Bar #Tonight #DTLV 8pm-4am-#Foundation @SaraKashani @PariaBadd @MickeyTaelor @kayynovamusic @y_o_s_2_…"
1018236104359768066,"harry potter movie weekend   #notleavingmycouch #nerd"
1018236147607199746,"Who says you don't learn anything from anime... #anime #nerd #DARLINGintheFRANXX"
1018236190779166720,"GALERA! Entrando ao vivo com final de Ori and the Blind Forest AGORA!Chega mais bater uns papos conhecer o cana… https://t.co/pQElCgwNsl"
1018236514319458306,"An old favourite... #Dnd #dndtwitter #podcast #ttrpg #dnd5e #nerd #geek #gaming #actualplay #dndmemes https://t.co/sJbJ74Qhst"
1018236650957213696,"RT @FlintlocksDnD: An old favourite... #Dnd #dndtwitter #podcast #ttrpg #dnd5e #nerd #geek #gaming #actualplay #dndmemes https://t.co/sJbJ7…"
1018237173034778625,"Hey #twitter any #beginner #book on #ingeneering or “building stuff”? #nerd"
1018237860384829440,"RT @mike_kaufmann: Reposting @developerstruggles:#developer #programmer #macbook #apple #laptop #technology #gadgets #instatech #geek #ins…"
1018237997731459072,"Starting to watch @KimsConvenience and I LOVE IT.  Thank you to the whole cast for being so awesome and representin… https://t.co/m5LKmAaXZr"
1018237998385819649,"Another #sentai Buy from @Jungle_LA was #goseiger mech Tensou Henkei Hosei Ultimate! My 1st visit to… https://t.co/sNnYJSBjoT"
1018238142837592066,"Yesterday ive watched #frightnight and it was a bit lame.  10/4#movienight #movie #film #horrormovie #horror… https://t.co/CF9Nb0HyFO"
1018238274698203136,"RT @theasthinkings: To all my blogging gals. I've just pledged to this Kickstarter I am DYING to play. If anyone could retweet and spread t…"
1018238476658110465,"Dear #redbull your too late I'm back to #cafebustelo. Stream starting at 5pm. #droker #mcoc #twitchaffiliate… https://t.co/mT4Qx0MpfL"
1018238515497357312,"New boxes who dis? #Spectrum #Netflix #WorldBox #Nerd https://t.co/53bq3UpFdc"
1018238725099311104,"RT @mirage42citt: GALERA! Entrando ao vivo com final de Ori and the Blind Forest AGORA!Chega mais bater uns papos conhecer o canal EEEE…"
1018238806640807937," Amazon Echo Dot 2nd Gen for $23.87!Here https://t.co/w4EY0Fkmuo#geek #deals #tech #amazon #home #gamedev… https://t.co/Rq245QLgSB"
